,review,score,source,cleaned_review,cleaned_reduced_review,cleaned_review_length
1961,"Both actors truly understand and become their particular character, delivering a convincing, sincere performance.  ",1,imdb,Both actors truly understand and become their particular character delivering a convincing sincere performance  ,actors truly understand become particular character delivering convincing sincere performance,14
1962,"Their on-screen chemistry, critical to the entire film, is genuine.  ",1,imdb,Their onscreen chemistry critical to the entire film is genuine  ,onscreen chemistry critical entire film genuine,10
1963,"The film's dialogue is natural, real to life.  ",1,imdb,The films dialogue is natural real to life  ,films dialogue natural real life,8
1964,"The writer, Gorman Bechard, undoubtedly did his homework because all references are industry and character-age appropriate.  ",1,imdb,The writer Gorman Bechard undoubtedly did his homework because all references are industry and characterage appropriate  ,writer gorman bechard undoubtedly homework references industry characterage appropriate,16
1965,The incredible soundtrack truly captures the essence of the film.  ,1,imdb,The incredible soundtrack truly captures the essence of the film  ,incredible soundtrack truly captures essence film,10
1966,"Each track commands sentiment, actually contributing to the scenes and characters.  ",1,imdb,Each track commands sentiment actually contributing to the scenes and characters  ,track commands sentiment actually contributing scenes characters,11
1967,Definitely worth seeing it's the sort of thought provoking film that forces you to question your own threshold of loneliness.  ,1,imdb,Definitely worth seeing its the sort of thought provoking film that forces you to question your own threshold of loneliness  ,definitely worth seeing sort thought provoking film forces question threshold loneliness,20
1968,"Hayao Miyazaki's latest and eighth film for Studio Ghibili, ""Gake No Ue No Ponyo"" (Ponyo on the Cliff by the Sea) is a wonderfully fun and imaginative look at childhood.  ",1,imdb,Hayao Miyazakis latest and eighth film for Studio Ghibili Gake No Ue No Ponyo Ponyo on the Cliff by the Sea is a wonderfully fun and imaginative look at childhood  ,hayao miyazakis latest eighth film studio ghibili gake ue ponyo ponyo cliff sea wonderfully fun imaginative look childhood,30
1969,"At a time when it seems that film animation has been dominated by Disney/Pixar's CGI masterpieces, it is both refreshing and comforting to know that Miyazaki is still relying on traditional hand-drawn animation to tell his charming and enchanting stories.  ",1,imdb,At a time when it seems that film animation has been dominated by DisneyPixars CGI masterpieces it is both refreshing and comforting to know that Miyazaki is still relying on traditional handdrawn animation to tell his charming and enchanting stories  ,time seems film animation dominated disneypixars cgi masterpieces refreshing comforting know miyazaki still relying traditional handdrawn animation tell charming enchanting stories,40
1970,Enough can not be said of the remarkable animation in this film.  ,1,imdb,Enough can not be said of the remarkable animation in this film  ,enough said remarkable animation film,12
1971,The art style has the appearance of crayon/pencil drawings and is wonderfully colorful and fanciful.  ,1,imdb,The art style has the appearance of crayonpencil drawings and is wonderfully colorful and fanciful  ,art style appearance crayonpencil drawings wonderfully colorful fanciful,15
1972,"If you act in such a film, you should be glad that you're gonna drift away from earth as far as possible!  ",0,imdb,If you act in such a film you should be glad that youre gonna drift away from earth as far as possible  ,act film glad youre gonna drift away earth far possible,22
1973,"This one wants to surf on the small wave of space movies in 1998 (Deep Impact and Armageddon), and this one fails everywhere.  ",0,imdb,This one wants to surf on the small wave of space movies in 1998 Deep Impact and Armageddon and this one fails everywhere  ,one wants surf small wave space movies 1998 deep impact armageddon one fails everywhere,23
1974,If you haven't choked in your own vomit by the end (by all the cheap drama and worthless dialogue) you've must have bored yourself to death with this waste of time.  ,0,imdb,If you havent choked in your own vomit by the end by all the cheap drama and worthless dialogue youve must have bored yourself to death with this waste of time  ,havent choked vomit end cheap drama worthless dialogue youve must bored death waste time,31
1975,"Still, it makes up for all of this with a super ending that depicts a great sea vessel being taken out by the mighty frost.  ",1,imdb,Still it makes up for all of this with a super ending that depicts a great sea vessel being taken out by the mighty frost  ,still makes super ending depicts great sea vessel taken mighty frost,25
1976,"Just consider the excellent story, solid acting and look of the film as added bonuses.  ",1,imdb,Just consider the excellent story solid acting and look of the film as added bonuses  ,consider excellent story solid acting look film added bonuses,15
1977,"Instead, we got a bore fest about a whiny, spoiled brat babysitting.  ",0,imdb,Instead we got a bore fest about a whiny spoiled brat babysitting  ,instead got bore fest whiny spoiled brat babysitting,12
1978,"Then I watched it again two Sundays ago (March 20th, 2005) and I began to really enjoy it and this time I taped the entire thing.  ",1,imdb,Then I watched it again two Sundays ago March 20th 2005 and I began to really enjoy it and this time I taped the entire thing  ,watched two sundays ago march 20th 2005 began really enjoy time taped entire thing,26
1979,It is a very well acted and done TV Movie.  ,1,imdb,It is a very well acted and done TV Movie  ,well acted done tv movie,10
1980,Judith Light is one of my favorite actresses and I think she does a superb job in this film!  ,1,imdb,Judith Light is one of my favorite actresses and I think she does a superb job in this film  ,judith light one favorite actresses think superb job film,19
1981,I keep watching it over and over.  ,1,imdb,I keep watching it over and over  ,keep watching,7
1982,"It's a sad movie, but very good.  ",1,imdb,Its a sad movie but very good  ,sad movie good,7
1983,"If you have not seen this movie, I definitely recommend it!  ",1,imdb,If you have not seen this movie I definitely recommend it  ,seen movie definitely recommend,11
1984,"She is as lovely as usual, this cutie!  ",1,imdb,She is as lovely as usual this cutie  ,lovely usual cutie,8
1985,Still it's quite interesting and entertaining to follow.  ,1,imdb,Still its quite interesting and entertaining to follow  ,still quite interesting entertaining follow,8
